objectid;anlage;adresse;typ;gruppe;lng;lat
293;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Basketballplatz;Funsport;11.408677918;47.2563019670001
294;Tivoli Fußballplatz W1;Stadionstraße 1, Zugang Wiesengasse;Fußballplatz;Fußball/Football;11.408922687;47.2557521350001
295;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.4084111940001;47.2562419340001
296;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.4087440660001;47.2551831330001
297;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.4096069600001;47.2550888910001
298;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.408878288;47.2551338000001
299;Spielplatz Tivoli;Olympiastraße;Sportplatz;Spielplatz;11.4080301110001;47.258603647
300;Spielplatz Tivoli;Olympiastraße;Streetballplatz;Funsport;11.407496544;47.2585705810001
301;Spielplatz Tivoli;Olympiastraße;Sportplatz;Spielplatz;11.4075123600001;47.258430897
302;Freibad Gruberhof;Heiligwasserweg;Freibad;Schwimmen;11.415301539;47.228429304
303;Olympia Golf;Badhausstraße;Golfplatz;Golf/Minigolf;11.4241251620001;47.224460827
304;Billard-Sport-Arena;Bachlechnerstraße 46;Billard;Sonstiges;11.375669881;47.264522232
305;At Charly´s Friends;Adamgasse 23;Billard;Sonstiges;11.3986428270001;47.2608461720001
306;Pool Café;Müllerstraße 27;Billard;Sonstiges;11.390696587;47.2610665130001
307;Billardlokal Verein Little Pool Team Innsbruck;Reichenauer Straße 19;Billard;Sonstiges;11.410479309;47.270304416
308;Billardlokal Tiroler Pool Billard Trainingszentrum;Dörrstraße 51;Billard;Sonstiges;11.4372088980001;47.27857605
309;Billardlokal Verein BC Grand Prix Innsbruck;Innrain 102;Billard;Sonstiges;11.3785402890001;47.257703545
310;WUB-Skatehalle;Matthias-Schmid-Straße 12;Skate-/Rollerbladehalle;Funsport;11.4144911720001;47.277074832
311;Sporthalle BORG Fallmerayerstraße;Fallmerayerstraße 7;Sporthalle;Sporthalle;11.393195389;47.263281975
312;Minigolf Kranebitter Hof;Kranebitter Allee 203;Minigolfanlage;Golf/Minigolf;11.3287553660001;47.2621632180001
313;BMX-Dirtpark;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;11.347403166;47.254430536
314;Spielplatz Sauerweinwiese;Kranebitterbodenweg;Sportplatz;Spielplatz;11.327870257;47.265324816
315;Baggersee;Archenweg;Sportplatz;Spielplatz;11.4446947060001;47.264862427
316;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.4111110540001;47.2269763790001
317;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.4107497000001;47.227150529
318;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41093363;47.2270602410001
319;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;11.4276649290001;47.22758449
320;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Fußballplatz;Fußball/Football;11.425270579;47.270409618
321;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.424844019;47.270925102
